Ticker,Company_name,CUSIP,Market_Cap,Sector
NVDA,NVIDIA CORP,67066G104,4471998382080.0,Technology
AAPL,APPLE INC,037833100,3714459893760.0,Technology
GOOGL,ALPHABET INC CL C,02079K107,3688496365568.0,Communication Services
MSFT,MICROSOFT CORP,594918104,2949501943808.0,Technology
AMZN,AMAZON.COM INC,023135106,2243598483456.0,Consumer Cyclical
TSM,TAIWAN SEMICONDUCTOR SP ADR,874039100,1771593924608.0,Technology
META,META PLATFORMS INC CLASS A,30303M102,1601689223168.0,Communication Services
AVGO,BROADCOM INC,11135F101,1530056409088.0,Technology
TSLA,TESLA INC,88160R101,1510616465408.0,Consumer Cyclical
BRK-B,BERKSHIRE HATHAWAY INC CL B,084670702,1069563445248.0,Financial Services
WMT,WALMART INC,931142103,1002546200576.0,Consumer Defensive
LLY,ELI LILLY + CO,532457108,885862694912.0,Healthcare
JPM,JPMORGAN CHASE + CO,46625H100,778336862208.0,Financial Services
XOM,EXXON MOBIL CORP,30231G102,651265179648.0,Energy
V,VISA INC CLASS A SHARES,92826C839,598298984448.0,Financial Services
JNJ,JOHNSON + JOHNSON,478160104,586605527040.0,Healthcare
ASML,ASML HOLDING NV,ACI02GTQ9,543251169280.0,Technology
MU,MICRON TECHNOLOGY INC,595112103,504498159616.0,Technology
MA,MASTERCARD INC   A,57636Q104,451876913152.0,Financial Services
ORCL,ORACLE CORP,68389X105,451720871936.0,Technology
COST,COSTCO WHOLESALE CORP,22160K105,445900455936.0,Consumer Defensive
NFLX,NETFLIX INC,64110L106,407391076352.0,Communication Services
ABBV,ABBVIE INC,00287Y109,393948037120.0,Healthcare
CVX,CHEVRON CORP,166764100,393512779776.0,Energy
PLTR,PALANTIR TECHNOLOGIES INC A,69608A108,365340426240.0,Technology
PG,PROCTER + GAMBLE CO/THE,742718109,352846741504.0,Consumer Defensive
BAC,BANK OF AMERICA CORP,060505104,346970783744.0,Financial Services
HD,HOME DEPOT INC,437076102,343053271040.0,Consumer Cyclical
KO,COCA COLA CO/THE,191216100,337009573888.0,Consumer Defensive
CAT,CATERPILLAR INC,149123101,330343874560.0,Industrials
BABA,ALIBABA GROUP HOLDING SP ADR,01609W102,329749430272.0,Consumer Cyclical
AMD,ADVANCED MICRO DEVICES,007903107,321419214848.0,Technology
GE,GENERAL ELECTRIC,369604301,320526286848.0,Industrials
AZN,ASTRAZENECA PLC,098952906,297762979840.0,Healthcare
MRK,MERCK + CO. INC.,58933Y105,285462364160.0,Healthcare
RTX,RTX CORP,75513E101,280312741888.0,Industrials
PM,PHILIP MORRIS INTERNATIONAL,718172109,274497093632.0,Consumer Defensive
UNH,UNITEDHEALTH GROUP INC,91324P102,259513597952.0,Healthcare
SHEL,SHELL PLC,BP6MXD906,253847486464.0,Energy
MS,MORGAN STANLEY,617446448,251993407488.0,Financial Services
GS,GOLDMAN SACHS GROUP INC,38141G104,240104767488.0,Financial Services
WFC,WELLS FARGO + CO,949746101,237032275968.0,Financial Services
TMUS,T MOBILE US INC,872590104,235153719296.0,Communication Services
MCD,MCDONALD S CORP,580135101,234369089536.0,Consumer Cyclical
RY,ROYAL BANK OF CANADA,780087953,230240763904.0,Financial Services
LIN,LINDE PLC,G54950103,229222547456.0,Basic Materials
GEV,GE VERNOVA INC,36828A101,225777385472.0,Industrials
PEP,PEPSICO INC,713448108,219362377728.0,Consumer Defensive
VZ,VERIZON COMMUNICATIONS INC,92343V104,214722297856.0,Communication Services
AXP,AMERICAN EXPRESS CO,025816109,208350068736.0,Financial Services
AMGN,AMGEN INC,031162100,199295991808.0,Healthcare
T,AT+T INC,00206R102,195775152128.0,Communication Services
NEE,NEXTERA ENERGY INC,65339F101,194163408896.0,Utilities
ABT,ABBOTT LABORATORIES,002824100,189702848512.0,Healthcare
GILD,GILEAD SCIENCES INC,375558103,180012187648.0,Healthcare
BHP,BHP GROUP LTD,614469005,179742605312.0,Basic Materials
TTE,TOTALENERGIES SE,B15C55900,176672178176.0,Energy
DIS,WALT DISNEY CO/THE,254687106,176132800512.0,Communication Services
TMO,THERMO FISHER SCIENTIFIC INC,883556102,175977660416.0,Healthcare
TJX,TJX COMPANIES INC,872540109,175165423616.0,Consumer Cyclical
BA,BOEING CO/THE,097023105,168716812288.0,Industrials
DE,DEERE + CO,244199105,155808694272.0,Industrials
APP,APPLOVIN CORP CLASS A,03831W108,154171703296.0,Communication Services
HON,HONEYWELL INTERNATIONAL INC,438516106,149682552832.0,Industrials
LMT,LOCKHEED MARTIN CORP,539830109,148770258944.0,Industrials
COP,CONOCOPHILLIPS,20825C104,147774701568.0,Energy
WELL,WELLTOWER INC,95040Q104,146786189312.0,Real Estate
RIO,RIO TINTO PLC,071887004,146706923520.0,Basic Materials
UNP,UNION PACIFIC CORP,907818108,144843898880.0,Industrials
ETN,EATON CORP PLC,G29183103,141331365888.0,Industrials
BKNG,BOOKING HOLDINGS INC,09857L108,139029282816.0,Consumer Cyclical
LOW,LOWE S COS INC,548661107,136642174976.0,Consumer Cyclical
PLD,PROLOGIS INC,74340W103,125513695232.0,Real Estate
NEM,NEWMONT CORP,651639106,121915899904.0,Basic Materials
MO,ALTRIA GROUP INC,02209S103,114552545280.0,Consumer Defensive
SBUX,STARBUCKS CORP,855244109,112562839552.0,Consumer Cyclical
PBR-A,PETROLEO BRASIL SP PREF  ADR,71654V101,112334422016.0,Energy
CEG,CONSTELLATION ENERGY,21037T109,110723792896.0,Utilities
SO,SOUTHERN CO/THE,842587107,110483914752.0,Utilities
