"symbol","company","identifier","sedol","weight","sector","shares_held","local_currency"
"NVDA","NVIDIA CORP","67066G104","2379504",0.0778885079157431,"-",286089706,"USD"
"AAPL","APPLE INC","037833100","2046251",0.0661427130326533,"-",173964810,"USD"
"MSFT","MICROSOFT CORP","594918104","2588173",0.0522735816604302,"-",87502308,"USD"
"AMZN","AMAZON.COM INC","023135106","2000019",0.0356733756880063,"-",114527555,"USD"
"GOOGL","ALPHABET INC CL A","02079K305","BYVY8G0",0.0309080097427794,"-",68494044,"USD"
"AVGO","BROADCOM INC","11135F101","BDZ78H9",0.027766717170271,"-",55595046,"USD"
"GOOG","ALPHABET INC CL C","02079K107","BYY88Y7",0.0246750497567257,"-",54742752,"USD"
"META","META PLATFORMS INC CLASS A","30303M102","B7TL820",0.0243242519092329,"-",25639431,"USD"
"TSLA","TESLA INC","88160R101","B616C79",0.0194248380043715,"-",33079686,"USD"
"BRK-B","BERKSHIRE HATHAWAY INC CL B","084670702","2073390",0.0157848826197906,"-",21586652,"USD"
"LLY","ELI LILLY + CO","532457108","2516152",0.0135849973219423,"-",9351171,"USD"
"JPM","JPMORGAN CHASE + CO","46625H100","2190385",0.0134767224287369,"-",32046360,"USD"
"XOM","EXXON MOBIL CORP","30231G102","2326618",0.0113334758455842,"-",49657166,"USD"
"JNJ","JOHNSON + JOHNSON","478160104","2475833",0.0102075050008853,"-",28369027,"USD"
"WMT","WALMART INC","931142103","2936921",0.00961992711064656,"-",51633165,"USD"
"V","VISA INC CLASS A SHARES","92826C839","B2PZN04",0.00905415027310546,"-",19871440,"USD"
"MU","MICRON TECHNOLOGY INC","595112103","2588184",0.00796374746068762,"-",13215983,"USD"
"COST","COSTCO WHOLESALE CORP","22160K105","2701271",0.00778285575220925,"-",5218091,"USD"
"MA","MASTERCARD INC   A","57636Q104","B121557",0.00713733848786658,"-",9654303,"USD"
"NFLX","NETFLIX INC","64110L106","2857817",0.00699411587686725,"-",49886937,"USD"
"ABBV","ABBVIE INC","00287Y109","B92SR70",0.00696930329738571,"-",20802023,"USD"
"CVX","CHEVRON CORP","166764100","2838555",0.00652476792684355,"-",22283179,"USD"
"PG","PROCTER + GAMBLE CO/THE","742718109","2704407",0.00615515053821987,"-",27511512,"USD"
"PLTR","PALANTIR TECHNOLOGIES INC A","69608A108","BN78DQ4",0.00613659112897057,"-",26892469,"USD"
"HD","HOME DEPOT INC","437076102","2434209",0.00590288264344257,"-",11715641,"USD"
"CAT","CATERPILLAR INC","149123101","2180201",0.00573874943118662,"-",5509393,"USD"
"GE","GENERAL ELECTRIC","369604301","BL59CR9",0.00566188046015569,"-",12418210,"USD"
"AMD","ADVANCED MICRO DEVICES","007903107","2007849",0.00563413639446927,"-",19166593,"USD"
"BAC","BANK OF AMERICA CORP","060505104","2295677",0.00554178957647948,"-",79097856,"USD"
"CSCO","CISCO SYSTEMS INC","17275R102","2198163",0.0053616082281395,"-",46394085,"USD"
"KO","COCA COLA CO/THE","191216100","2206657",0.0052224977018849,"-",45577284,"USD"
"MRK","MERCK + CO. INC.","58933Y105","2778844",0.00503485256955571,"-",29219844,"USD"
"RTX","RTX CORP","75513E101","BM5M5Y3",0.00476585619377312,"-",15789607,"USD"
"AMAT","APPLIED MATERIALS INC","038222105","2046552",0.00470179371537782,"-",9377738,"USD"
"PM","PHILIP MORRIS INTERNATIONAL","718172109","B2PKRQ3",0.00468562551842533,"-",18325311,"USD"
"ORCL","ORACLE CORP","68389X105","2661568",0.00468446493003023,"-",19798764,"USD"
"LRCX","LAM RESEARCH CORP","512807306","BSML4N7",0.0046047044930839,"-",14786005,"USD"
"UNH","UNITEDHEALTH GROUP INC","91324P102","2917766",0.00439028578708834,"-",10659750,"USD"
"WFC","WELLS FARGO + CO","949746101","2649100",0.00413394582785581,"-",36954739,"USD"
"GS","GOLDMAN SACHS GROUP INC","38141G104","2407966",0.00413347558945434,"-",3530744,"USD"
"IBM","INTL BUSINESS MACHINES CORP","459200101","2005973",0.00405153404673101,"-",11003746,"USD"
"MCD","MCDONALD S CORP","580135101","2550707",0.004036536443246,"-",8382936,"USD"
"LIN","LINDE PLC","G54950103","BNZHB81",0.00400705149496692,"-",5496387,"USD"
"GEV","GE VERNOVA INC","36828A101","BP6H4Y1",0.00395043279041609,"-",3193563,"USD"
"PEP","PEPSICO INC","713448108","2681511",0.00380101703961875,"-",16095240,"USD"
"VZ","VERIZON COMMUNICATIONS INC","92343V104","2090571",0.0037367244445589,"-",49647237,"USD"
"INTC","INTEL CORP","458140100","2463247",0.00355026991584193,"-",52778170,"USD"
"AMGN","AMGEN INC","031162100","2023607",0.00346528683111764,"-",6337992,"USD"
"T","AT+T INC","00206R102","2831811",0.00339759251145146,"-",83443362,"USD"
"NEE","NEXTERA ENERGY INC","65339F101","2328915",0.00334251458804585,"-",24511734,"USD"
"CRM","SALESFORCE INC","79466L302","2310525",0.00331827229768948,"-",11201075,"USD"
"C","CITIGROUP INC","172967424","2297907",0.00330308459782941,"-",21061013,"USD"
"ABT","ABBOTT LABORATORIES","002824100","2002305",0.00329014803925294,"-",20466415,"USD"
"MS","MORGAN STANLEY","617446448","2262314",0.00326268411559292,"-",14217514,"USD"
"KLAC","KLA CORP","482480100","2480138",0.00323928225131577,"-",1545873,"USD"
"GILD","GILEAD SCIENCES INC","375558103","2369174",0.00313575976748692,"-",14608928,"USD"
"TMO","THERMO FISHER SCIENTIFIC INC","883556102","2886907",0.00312542452772707,"-",4422257,"USD"
"DIS","WALT DISNEY CO/THE","254687106","2270726",0.00310589462645772,"-",21012692,"USD"
"TJX","TJX COMPANIES INC","872540109","2989301",0.00303247740539499,"-",13093917,"USD"
"TXN","TEXAS INSTRUMENTS INC","882508104","2885409",0.00302156187143758,"-",10694864,"USD"
"ISRG","INTUITIVE SURGICAL INC","46120E602","2871301",0.00297155651972437,"-",4170760,"USD"
"AXP","AMERICAN EXPRESS CO","025816109","2026082",0.00283814888472158,"-",6324106,"USD"
"APH","AMPHENOL CORP CL A","032095101","2145084",0.00281467698493782,"-",14401729,"USD"
"BA","BOEING CO/THE","097023105","2108601",0.00280539227777699,"-",9216391,"USD"
"PFE","PFIZER INC","717081103","2684703",0.0026716644804583,"-",66909607,"USD"
"SCHW","SCHWAB (CHARLES) CORP","808513105","2779397",0.00266544132544317,"-",19651511,"USD"
"UBER","UBER TECHNOLOGIES INC","90353T100","BK6N347",0.00265160431035326,"-",24444226,"USD"
"ADI","ANALOG DEVICES INC","032654105","2032067",0.00264368029303496,"-",5787630,"USD"
"COP","CONOCOPHILLIPS","20825C104","2685717",0.00259863745721806,"-",14535701,"USD"
"HON","HONEYWELL INTERNATIONAL INC","438516106","2020459",0.00259347483987432,"-",7474693,"USD"
"DE","DEERE + CO","244199105","2261203",0.00257542568931597,"-",2957262,"USD"
"UNP","UNION PACIFIC CORP","907818108","2914734",0.00253292414188145,"-",6980178,"USD"
"WELL","WELLTOWER INC","95040Q104","BYVYHH4",0.00247478466633014,"-",8073490,"USD"
"QCOM","QUALCOMM INC","747525103","2714923",0.00245645537374538,"-",12599455,"USD"
"ANET","ARISTA NETWORKS INC","040413205","BL9XPM3",0.00242211796536608,"-",12156429,"USD"
"BKNG","BOOKING HOLDINGS INC","09857L108","BDRXDB4",0.00237719519041764,"-",379141,"USD"
"ETN","EATON CORP PLC","G29183103","B8KQN82",0.00236810057963186,"-",4569155,"USD"
"LOW","LOWE S COS INC","548661107","2536763",0.00234860069357963,"-",6597899,"USD"
"PANW","PALO ALTO NETWORKS INC","697435105","B87ZMX0",0.00233853559077381,"-",9356989,"USD"
"BLK","BLACKROCK INC","09290D101","BMZBBT7",0.00233042147708045,"-",1698604,"USD"
"LMT","LOCKHEED MARTIN CORP","539830109","2522096",0.00232916083796163,"-",2399997,"USD"
"SPGI","S+P GLOBAL INC","78409V104","BYV2325",0.00227964573479463,"-",3653757,"USD"
"NEM","NEWMONT CORP","651639106","2636607",0.00218455752697503,"-",12836465,"USD"
"PLD","PROLOGIS INC","74340W103","B44WZD7",0.00214605800848914,"-",10944833,"USD"
"APP","APPLOVIN CORP CLASS A","03831W108","BMV3LG4",0.00212877924850341,"-",3186968,"USD"
"ACN","ACCENTURE PLC CL A","G1151C101","B4BNMY3",0.00212622795504865,"-",7295503,"USD"
"INTU","INTUIT INC","461202103","2459020",0.00212569768621296,"-",3286197,"USD"
"VRTX","VERTEX PHARMACEUTICALS INC","92532F100","2931034",0.00212552759998264,"-",2990430,"USD"
"CB","CHUBB LTD","H1467J104","B3BQMF6",0.00210724833275974,"-",4313934,"USD"
"PGR","PROGRESSIVE CORP","743315103","2705024",0.00210368652699546,"-",6896963,"USD"
"BMY","BRISTOL MYERS SQUIBB CO","110122108","2126335",0.00209839384371088,"-",23945015,"USD"
"NOW","SERVICENOW INC","81762P102","B80NXX8",0.00205342104340058,"-",12227212,"USD"
"DHR","DANAHER CORP","235851102","2250870",0.0020476381115698,"-",7395113,"USD"
"MCK","MCKESSON CORP","58155Q103","2378534",0.00204227539277863,"-",1454751,"USD"
"SYK","STRYKER CORP","863667101","2853688",0.00202933883420216,"-",4048241,"USD"
"-","US DOLLAR","999USDZ92","-",0.00202202512629853,"-",1360185797.53,"USD"
"PH","PARKER HANNIFIN CORP","701094104","2671501",0.00199456120263851,"-",1487203,"USD"
"SBUX","STARBUCKS CORP","855244109","2842255",0.00199126953382826,"-",13370899,"USD"
"MO","ALTRIA GROUP INC","02209S103","2692632",0.00198888832660382,"-",19756277,"USD"
