Ticker,companyName,sector,industry,marketCap
NVDA,NVIDIA Corporation,Technology,Semiconductors,4261638590237
AAPL,Apple Inc.,Technology,Consumer Electronics,3744736231393
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,3559905308906
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,2776665825900
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Specialty Retail,2236873033905
TSM,Taiwan Semiconductor Manufacturing Company Limited,Technology,Semiconductors,1782862637531
AVGO,Broadcom Inc.,Technology,Semiconductors,1511731409688
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,1504100035094
TSLA,"Tesla, Inc.",Consumer Cyclical,Auto - Manufacturers,1441534270973
BRK-B,Berkshire Hathaway Inc.,Financial Services,Insurance - Diversified,1040258844716
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,984272812773
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,853105419670
JPM,JPMorgan Chase & Co.,Financial Services,Banks - Diversified,792603874365
XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,692307747716
V,Visa Inc.,Financial Services,Financial - Credit Services,587521831457
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,566446778754
ASML,ASML Holding N.V.,Technology,Semiconductors,539064873112
MA,Mastercard Incorporated,Financial Services,Financial - Credit Services,446897113168
MU,"Micron Technology, Inc.",Technology,Semiconductors,444263606127
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,434278612110
ORCL,Oracle Corporation,Technology,Software - Infrastructure,426862447100
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,417924905374
NFLX,"Netflix, Inc.",Communication Services,Entertainment,392715127151
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,363588593938
PLTR,Palantir Technologies Inc.,Technology,Software - Infrastructure,352886380000
BAC,Bank of America Corporation,Financial Services,Banks - Diversified,352637503252
PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,337751443805
CAT,Caterpillar Inc.,Industrials,Agricultural - Machinery,335541354558
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,331731370650
HD,"The Home Depot, Inc.",Consumer Cyclical,Home Improvement,329280356336
KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,324854885200
GE,GE Aerospace,Industrials,Aerospace & Defense,307198722672
BABA,Alibaba Group Holding Limited,Consumer Cyclical,Specialty Retail,290431262709
NVS,Novartis AG,Healthcare,Drug Manufacturers - General,287118942353
MRK,"Merck & Co., Inc.",Healthcare,Drug Manufacturers - General,286871644108
TM,Toyota Motor Corporation,Consumer Cyclical,Auto - Manufacturers,274157250951
HSBC,HSBC Holdings plc,Financial Services,Banks - Diversified,273183074153
MS,Morgan Stanley,Financial Services,Financial - Capital Markets,263695944410
SHEL,Shell plc,Energy,Oil & Gas Integrated,260858567774
RTX,RTX Corporation,Industrials,Aerospace & Defense,259820363850
PM,Philip Morris International Inc.,Consumer Defensive,Tobacco,258945864569
GS,"The Goldman Sachs Group, Inc.",Financial Services,Financial - Capital Markets,251301114917
WFC,Wells Fargo & Company,Financial Services,Banks - Diversified,251158147325
UNH,UnitedHealth Group Incorporated,Healthcare,Medical - Healthcare Plans,247069372453
TMUS,"T-Mobile US, Inc.",Communication Services,Telecommunications Services,238102094178
RY,Royal Bank of Canada,Financial Services,Banks - Diversified,226697735200
LIN,Linde plc,Basic Materials,Chemicals - Specialty,224792505076
MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,221385074374
VZ,Verizon Communications Inc.,Communication Services,Telecommunications Services,216915282400
PEP,"PepsiCo, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,207444777065
T,AT&T Inc.,Communication Services,Telecommunications Services,206692904750
